num, x_1, y_1, z_1, x_2, y_2, z_2, x_3, y_3, z_3, x_4, y_4, z_4, x_5, y_5, z_5, x_6, y_6, z_6, x_7, y_7, z_7, x_8, y_8, z_8, x_9, y_9, z_9, x_10, y_10, z_10, x_11, y_11, z_11, x_12, y_12, z_12, x_13, y_13, z_13, x_14, y_14, z_14, x_15, y_15, z_15, x_16, y_16, z_16, x_17, y_17, z_17, x_18, y_18, z_18, x_19, y_19, z_19, x_20, y_20, z_20, x_21, y_21, z_21, 
0,0.6623173356056213,0.5168777108192444,0.6623173356056213,0.6159431338310242,0.5796998143196106,0.6159431338310242,0.5563362240791321,0.57426518201828,0.5563362240791321,0.5053640007972717,0.5422015190124512,0.5053640007972717,0.46062785387039185,0.5250692963600159,0.46062785387039185,0.5343936085700989,0.42067113518714905,0.5343936085700989,0.4826754331588745,0.3525444269180298,0.4826754331588745,0.4494089186191559,0.3055765628814697,0.4494089186191559,0.42363226413726807,0.2616482675075531,0.42363226413726807,0.5573984980583191,0.3575275242328644,0.5573984980583191,0.5062964558601379,0.282320499420166,0.5062964558601379,0.4670378863811493,0.23007015883922577,0.4670378863811493,0.4373917579650879,0.18393206596374512,0.4373917579650879,0.589337170124054,0.3205346465110779,0.589337170124054,0.5495895743370056,0.22632911801338196,0.5495895743370056,0.5226214528083801,0.16760724782943726,0.5226214528083801,0.5007187724113464,0.1188802421092987,0.5007187724113464,0.6307014226913452,0.3040947914123535,0.6307014226913452,0.6137577891349792,0.21374717354774475,0.6137577891349792,0.6044614911079407,0.15630686283111572,0.6044614911079407,0.5949126482009888,0.106405109167099,0.5949126482009888,
1,0.6697142720222473,0.5379647016525269,0.6697142720222473,0.6179683208465576,0.5891401171684265,0.6179683208465576,0.5535176396369934,0.5785703659057617,0.5535176396369934,0.5025506019592285,0.5489760041236877,0.5025506019592285,0.4568991959095001,0.5357785224914551,0.4568991959095001,0.5320042967796326,0.42720353603363037,0.5320042967796326,0.47820520401000977,0.36208778619766235,0.47820520401000977,0.4451707899570465,0.3138149082660675,0.4451707899570465,0.41848987340927124,0.2683119773864746,0.41848987340927124,0.5538486242294312,0.36732351779937744,0.5538486242294312,0.4997180104255676,0.2905718982219696,0.4997180104255676,0.4610893726348877,0.2351989597082138,0.4610893726348877,0.42925506830215454,0.1877116560935974,0.42925506830215454,0.5854139924049377,0.32846760749816895,0.5854139924049377,0.544152557849884,0.23242151737213135,0.544152557849884,0.5167935490608215,0.1697165071964264,0.5167935490608215,0.4925593137741089,0.1222357451915741,0.4925593137741089,0.6260868310928345,0.3077593743801117,0.6260868310928345,0.607708752155304,0.21612398326396942,0.607708752155304,0.5956413745880127,0.15752167999744415,0.5956413745880127,0.5832098126411438,0.10926011204719543,0.5832098126411438,
2,0.6732532978057861,0.5370826721191406,0.6732532978057861,0.6201806664466858,0.5807256698608398,0.6201806664466858,0.555288553237915,0.568455159664154,0.555288553237915,0.5030539631843567,0.5356094837188721,0.5030539631843567,0.4573354125022888,0.5217723250389099,0.4573354125022888,0.5314698815345764,0.41537705063819885,0.5314698815345764,0.4781876802444458,0.34657493233680725,0.4781876802444458,0.44610393047332764,0.2972473204135895,0.44610393047332764,0.4203718304634094,0.2504976987838745,0.4203718304634094,0.552973210811615,0.3564036786556244,0.552973210811615,0.4996878504753113,0.2785942852497101,0.4996878504753113,0.4634934365749359,0.22394944727420807,0.4634934365749359,0.43325304985046387,0.17467081546783447,0.43325304985046387,0.5844511389732361,0.31815969944000244,0.5844511389732361,0.5434980392456055,0.223439022898674,0.5434980392456055,0.5176801681518555,0.16442051529884338,0.5176801681518555,0.4944932460784912,0.11759889125823975,0.4944932460784912,0.6256311535835266,0.2975902259349823,0.6256311535835266,0.6072580814361572,0.20867247879505157,0.6072580814361572,0.5959864854812622,0.15232263505458832,0.5959864854812622,0.5842623710632324,0.1043103039264679,0.5842623710632324,
3,0.672619640827179,0.5551021099090576,0.672619640827179,0.613588809967041,0.5968921184539795,0.613588809967041,0.5456825494766235,0.5788677930831909,0.5456825494766235,0.493937224149704,0.5456510782241821,0.493937224149704,0.4495369791984558,0.5303685665130615,0.4495369791984558,0.5296797156333923,0.4193402826786041,0.5296797156333923,0.47735595703125,0.3466329574584961,0.47735595703125,0.4455235004425049,0.2968061864376068,0.4455235004425049,0.41966190934181213,0.25097596645355225,0.41966190934181213,0.5543028116226196,0.3598172068595886,0.5543028116226196,0.501378059387207,0.2757597267627716,0.501378059387207,0.4645906686782837,0.22102090716362,0.4645906686782837,0.4331805109977722,0.172297403216362,0.4331805109977722,0.5885019302368164,0.3217131495475769,0.5885019302368164,0.5475942492485046,0.21995416283607483,0.5475942492485046,0.5207271575927734,0.15610089898109436,0.5207271575927734,0.49591103196144104,0.10461750626564026,0.49591103196144104,0.6318293809890747,0.3030414581298828,0.6318293809890747,0.6144459843635559,0.20883381366729736,0.6144459843635559,0.6019948124885559,0.1491125077009201,0.6019948124885559,0.588651716709137,0.09773272275924683,0.588651716709137,
4,0.6739176511764526,0.5571539402008057,0.6739176511764526,0.6121601462364197,0.5860270261764526,0.6121601462364197,0.5474978685379028,0.5616974234580994,0.5474978685379028,0.4978926479816437,0.5274356603622437,0.4978926479816437,0.4550420045852661,0.5112387537956238,0.4550420045852661,0.5338738560676575,0.3985019624233246,0.5338738560676575,0.4858044683933258,0.3192989230155945,0.4858044683933258,0.456665962934494,0.26646947860717773,0.456665962934494,0.4329395294189453,0.21825914084911346,0.4329395294189453,0.559711754322052,0.34307122230529785,0.559711754322052,0.5105538368225098,0.2499222755432129,0.5105538368225098,0.47608017921447754,0.1879286915063858,0.47608017921447754,0.44602155685424805,0.1306585669517517,0.44602155685424805,0.5951467752456665,0.31054002046585083,0.5951467752456665,0.5590290427207947,0.2011091709136963,0.5590290427207947,0.5328580141067505,0.13359829783439636,0.5328580141067505,0.5078245401382446,0.0774955153465271,0.5078245401382446,0.6398494243621826,0.29812556505203247,0.6398494243621826,0.6252457499504089,0.1992618590593338,0.6252457499504089,0.6133894324302673,0.1336142122745514,0.6133894324302673,0.6002596020698547,0.07577699422836304,0.6002596020698547,
5,0.6724333763122559,0.5653401613235474,0.6724333763122559,0.6087626218795776,0.5849893689155579,0.6087626218795776,0.5442178845405579,0.5570312142372131,0.5442178845405579,0.4975275993347168,0.5240679383277893,0.4975275993347168,0.45809319615364075,0.5036451816558838,0.45809319615364075,0.5323062539100647,0.4041231572628021,0.5323062539100647,0.4824191927909851,0.3201158046722412,0.4824191927909851,0.453680157661438,0.2676694989204407,0.453680157661438,0.43018919229507446,0.2201050966978073,0.43018919229507446,0.5576318502426147,0.3564760386943817,0.5576318502426147,0.5054441690444946,0.2573329508304596,0.5054441690444946,0.4707624614238739,0.19329099357128143,0.4707624614238739,0.44165515899658203,0.13732463121414185,0.44165515899658203,0.5919937491416931,0.3292943239212036,0.5919937491416931,0.5519834160804749,0.22000087797641754,0.5519834160804749,0.5255115628242493,0.15025435388088226,0.5255115628242493,0.5011109709739685,0.09243455529212952,0.5011109709739685,0.6352095603942871,0.3201773166656494,0.6352095603942871,0.6187587380409241,0.22467239201068878,0.6187587380409241,0.6055752635002136,0.1619882583618164,0.6055752635002136,0.5915577411651611,0.1067456305027008,0.5915577411651611,
6,0.6747570633888245,0.5550405383110046,0.6747570633888245,0.6110090613365173,0.5638351440429688,0.6110090613365173,0.5506370067596436,0.5284793972969055,0.5506370067596436,0.5073792934417725,0.48941728472709656,0.5073792934417725,0.4686286151409149,0.46397852897644043,0.4686286151409149,0.5350365042686462,0.38906580209732056,0.5350365042686462,0.48646000027656555,0.30205971002578735,0.48646000027656555,0.45712703466415405,0.2527309060096741,0.45712703466415405,0.43160033226013184,0.20940570533275604,0.43160033226013184,0.5576749444007874,0.3546893000602722,0.5576749444007874,0.5062780380249023,0.25083619356155396,0.5062780380249023,0.4714258909225464,0.1882106363773346,0.4714258909225464,0.4411637783050537,0.13048624992370605,0.4411637783050537,0.590194046497345,0.3399016857147217,0.590194046497345,0.5507563352584839,0.227993443608284,0.5507563352584839,0.5219839811325073,0.16171319782733917,0.5219839811325073,0.49533611536026,0.1039578914642334,0.49533611536026,0.6319835186004639,0.34391453862190247,0.6319835186004639,0.6163699626922607,0.25908777117729187,0.6163699626922607,0.6005868315696716,0.20299150049686432,0.6005868315696716,0.5835613012313843,0.15083149075508118,0.5835613012313843,
7,0.620241641998291,0.49234628677368164,0.620241641998291,0.5819978713989258,0.5168019533157349,0.5819978713989258,0.5415968298912048,0.48768433928489685,0.5415968298912048,0.5126129984855652,0.45661669969558716,0.5126129984855652,0.4831308424472809,0.4296438992023468,0.4831308424472809,0.5369846820831299,0.37804538011550903,0.5369846820831299,0.49985432624816895,0.2949610948562622,0.49985432624816895,0.4733627140522003,0.2349102646112442,0.4733627140522003,0.4501855671405792,0.1799609512090683,0.4501855671405792,0.559820830821991,0.35445836186408997,0.559820830821991,0.5197121500968933,0.2673468589782715,0.5197121500968933,0.48950067162513733,0.20087364315986633,0.48950067162513733,0.46216732263565063,0.1413542479276657,0.46216732263565063,0.5898681879043579,0.34746217727661133,0.5898681879043579,0.5576779246330261,0.2612560987472534,0.5576779246330261,0.530788004398346,0.19859841465950012,0.530788004398346,0.5061596632003784,0.14735816419124603,0.5061596632003784,0.626708447933197,0.3564039468765259,0.626708447933197,0.613631546497345,0.29314374923706055,0.613631546497345,0.5963316559791565,0.25165557861328125,0.5963316559791565,0.5794724822044373,0.2176855504512787,0.5794724822044373,
8,0.6768854856491089,0.5343931913375854,0.6768854856491089,0.6116573214530945,0.5354079008102417,0.6116573214530945,0.5561638474464417,0.4933754801750183,0.5561638474464417,0.517367959022522,0.453128457069397,0.517367959022522,0.48108339309692383,0.4211716949939728,0.48108339309692383,0.5369142889976501,0.3666786849498749,0.5369142889976501,0.4917602837085724,0.2702372670173645,0.4917602837085724,0.46245819330215454,0.21646283566951752,0.46245819330215454,0.43604353070259094,0.16929569840431213,0.43604353070259094,0.5602242350578308,0.3478180766105652,0.5602242350578308,0.5124602913856506,0.23492132127285004,0.5124602913856506,0.4787822961807251,0.16380071640014648,0.4787822961807251,0.44933244585990906,0.10015711188316345,0.44933244585990906,0.5938872694969177,0.34834980964660645,0.5938872694969177,0.5558862090110779,0.24276910722255707,0.5558862090110779,0.5258270502090454,0.17470571398735046,0.5258270502090454,0.4975530505180359,0.11488568782806396,0.4975530505180359,0.6362059712409973,0.3691258132457733,0.6362059712409973,0.6171506643295288,0.29899412393569946,0.6171506643295288,0.5968398451805115,0.25018447637557983,0.5968398451805115,0.5762878656387329,0.20470519363880157,0.5762878656387329,
9,0.631137490272522,0.48015737533569336,0.631137490272522,0.5878409743309021,0.4911172688007355,0.5878409743309021,0.5495731234550476,0.45707038044929504,0.5495731234550476,0.5185118913650513,0.4265747666358948,0.5185118913650513,0.48877042531967163,0.39496105909347534,0.48877042531967163,0.5382080674171448,0.36283066868782043,0.5382080674171448,0.5042819976806641,0.27940788865089417,0.5042819976806641,0.47730088233947754,0.22777211666107178,0.47730088233947754,0.45287102460861206,0.18536818027496338,0.45287102460861206,0.5561835169792175,0.3590025305747986,0.5561835169792175,0.5212075114250183,0.2716158628463745,0.5212075114250183,0.48942333459854126,0.21423107385635376,0.48942333459854126,0.46046921610832214,0.163450688123703,0.46046921610832214,0.5816044211387634,0.37328487634658813,0.5816044211387634,0.5557229518890381,0.2933722138404846,0.5557229518890381,0.5265558362007141,0.23874467611312866,0.5265558362007141,0.4986518621444702,0.19392362236976624,0.4986518621444702,0.6134002804756165,0.40734347701072693,0.6134002804756165,0.6024054288864136,0.3581855893135071,0.6024054288864136,0.5848592519760132,0.3271349370479584,0.5848592519760132,0.5667352080345154,0.30287688970565796,0.5667352080345154,
